Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Cuckoo,0.3,2,0.01417,0.01584,0.04292,0.03375,19079.0
Cuckoo,0.3,3,0.01375,0.01459,0.04709,0.03458,19079.0
Cuckoo,0.3,4,0.01375,0.01375,0.05667,0.03458,19079.0
Cuckoo,0.5,0,0.55959,0.05417,0.23167,0.06583,24103.0
Cuckoo,0.5,1,0.05542,0.01375,0.78458,0.03583,24103.0
Cuckoo,0.5,2,0.01666,0.01416,0.05416,0.035,24103.0
Cuckoo,0.5,3,0.01375,0.03667,0.05583,0.04125,24103.0
Cuckoo,0.5,4,0.01333,0.01333,0.04458,0.035,24103.0
Cuckoo,0.7,0,0.02041,0.01833,2.78042,0.03916,29153.0
Cuckoo,0.7,1,0.32958,0.01584,0.08958,0.04083,29153.0
Cuckoo,0.7,2,0.01542,0.01333,0.04708,0.03625,29153.0
Cuckoo,0.7,3,0.01333,0.01333,0.04334,0.03667,29153.0
Cuckoo,0.7,4,1.34584,0.01792,2.55541,0.04792,29153.0
Cuckoo,0.9,0,0.01666,0.01917,0.04833,0.03458,29153.0
Cuckoo,0.9,1,0.01542,0.01458,0.04458,0.035,29153.0
Cuckoo,0.9,2,0.01792,0.01709,0.05333,0.0425,29153.0
Cuckoo,0.9,3,0.01292,0.01333,0.0425,0.03458,29153.0
Cuckoo,0.9,4,0.02542,0.01875,0.05042,0.03708,29153.0
