Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Linear Probing,90,10,91,31,70,63,38,85,16,100,1
Linear Probing,91,11,90,29,72,50,51,74,27,101,0
Linear Probing,92,15,86,40,61,54,47,77,24,98,3
Linear Probing,93,11,90,35,66,55,46,65,36,83,18
Linear Probing,94,14,87,40,61,59,42,78,23,92,9
Linear Probing,95,5,96,27,74,51,50,80,21,99,2
Linear Probing,96,15,86,35,66,57,44,70,31,92,9
Linear Probing,97,15,86,32,69,49,52,73,28,95,6
Linear Probing,98,9,92,22,79,34,67,51,50,69,32
Linear Probing,99,1,9,3,7,3,7,5,5,6,4
Quadratic Probing,0,5,96,29,72,45,56,66,35,86,15
Quadratic Probing,1,14,87,35,66,50,51,72,29,91,10
Quadratic Probing,2,9,92,25,76,53,48,77,24,95,6
Quadratic Probing,3,8,93,28,73,47,54,60,41,88,13
Quadratic Probing,4,6,95,25,76,47,54,73,28,91,10
Quadratic Probing,5,10,91,29,72,56,45,69,32,92,9
Quadratic Probing,6,5,96,30,71,46,55,73,28,90,11
Quadratic Probing,7,9,92,24,77,34,67,49,52,74,27
Quadratic Probing,8,10,91,33,68,49,52,71,30,89,12
Quadratic Probing,9,5,96,21,80,40,61,59,42,77,24
Quadratic Probing,10,9,92,24,77,43,58,57,44,75,26
Quadratic Probing,11,10,91,27,74,51,50,69,32,91,10
Quadratic Probing,12,6,95,24,77,44,57,55,46,86,15
Quadratic Probing,13,14,87,27,74,47,54,61,40,85,16
Quadratic Probing,14,13,88,35,66,55,46,74,27,90,11
Quadratic Probing,15,20,81,43,58,60,41,79,22,95,6
Quadratic Probing,16,10,91,30,71,55,46,73,28,97,4
Quadratic Probing,17,8,93,24,77,52,49,76,25,90,11
Quadratic Probing,18,9,92,32,69,48,53,69,32,92,9
Quadratic Probing,19,12,89,44,57,67,34,89,12,101,0
Quadratic Probing,20,10,91,31,70,61,40,83,18,99,2
Quadratic Probing,21,11,90,25,76,44,57,70,31,95,6
Quadratic Probing,22,9,92,33,68,54,47,77,24,95,6
Quadratic Probing,23,8,93,31,70,44,57,63,38,92,9
Quadratic Probing,24,9,92,38,63,62,39,83,18,97,4
Quadratic Probing,25,10,91,39,62,52,49,77,24,97,4
Quadratic Probing,26,10,91,36,65,54,47,78,23,98,3
Quadratic Probing,27,13,88,29,72,46,55,69,32,94,7
Quadratic Probing,28,10,91,28,73,60,41,78,23,95,6
Quadratic Probing,29,12,89,27,74,48,53,68,33,92,9
Quadratic Probing,30,7,94,30,71,54,47,75,26,96,5
Quadratic Probing,31,11,90,34,67,51,50,73,28,97,4
Quadratic Probing,32,7,94,32,69,54,47,75,26,99,2
Quadratic Probing,33,10,91,29,72,49,52,74,27,96,5
Quadratic Probing,34,13,88,28,73,50,51,68,33,91,10
Quadratic Probing,35,9,92,35,66,51,50,73,28,94,7
Quadratic Probing,36,12,89,37,64,56,45,75,26,90,11
Quadratic Probing,37,10,91,29,72,47,54,64,37,94,7
Quadratic Probing,38,10,91,32,69,55,46,81,20,93,8
Quadratic Probing,39,15,86,31,70,46,55,61,40,83,18
Quadratic Probing,40,5,96,24,77,42,59,59,42,81,20
Quadratic Probing,41,12,89,30,71,46,55,67,34,82,19
Quadratic Probing,42,11,90,36,65,58,43,68,33,81,20
Quadratic Probing,43,8,93,33,68,53,48,75,26,96,5
Quadratic Probing,44,11,90,26,75,46,55,69,32,95,6
Quadratic Probing,45,11,90,26,75,48,53,75,26,96,5
Quadratic Probing,46,10,91,29,72,57,44,77,24,99,2
Quadratic Probing,47,9,92,26,75,47,54,67,34,88,13
Quadratic Probing,48,17,84,45,56,69,32,83,18,96,5
Quadratic Probing,49,10,91,31,70,56,45,80,21,99,2
Quadratic Probing,50,10,91,26,75,49,52,69,32,93,8
Quadratic Probing,51,8,93,31,70,53,48,73,28,92,9
Quadratic Probing,52,9,92,26,75,45,56,71,30,91,10
Quadratic Probing,53,9,92,29,72,52,49,71,30,89,12
Quadratic Probing,54,9,92,32,69,55,46,76,25,93,8
Quadratic Probing,55,8,93,30,71,51,50,72,29,94,7
Quadratic Probing,56,9,92,31,70,48,53,78,23,91,10
Quadratic Probing,57,4,97,22,79,39,62,60,41,83,18
Quadratic Probing,58,9,92,32,69,44,57,66,35,91,10
Quadratic Probing,59,12,89,29,72,45,56,68,33,88,13
Quadratic Probing,60,11,90,25,76,52,49,75,26,89,12
Quadratic Probing,61,10,91,30,71,44,57,65,36,88,13
Quadratic Probing,62,5,96,26,75,39,62,56,45,74,27
Quadratic Probing,63,10,91,25,76,44,57,61,40,82,19
Quadratic Probing,64,6,95,21,80,46,55,65,36,81,20
Quadratic Probing,65,13,88,38,63,59,42,74,27,88,13
Quadratic Probing,66,13,88,40,61,64,37,82,19,95,6
Quadratic Probing,67,4,97,25,76,46,55,66,35,92,9
Quadratic Probing,68,17,84,33,68,51,50,68,33,89,12
Quadratic Probing,69,10,91,33,68,49,52,61,40,90,11
Quadratic Probing,70,9,92,21,80,49,52,66,35,91,10
Quadratic Probing,71,14,87,35,66,65,36,86,15,98,3
Quadratic Probing,72,12,89,35,66,54,47,71,30,91,10
Quadratic Probing,73,7,94,28,73,46,55,71,30,94,7
Quadratic Probing,74,9,92,37,64,55,46,76,25,95,6
Quadratic Probing,75,11,90,31,70,61,40,82,19,95,6
Quadratic Probing,76,18,83,36,65,58,43,80,21,96,5
Quadratic Probing,77,10,91,22,79,39,62,57,44,84,17
Quadratic Probing,78,8,93,27,74,50,51,72,29,83,18
Quadratic Probing,79,15,86,35,66,57,44,76,25,94,7
Quadratic Probing,80,9,92,30,71,51,50,70,31,91,10
Quadratic Probing,81,10,91,30,71,52,49,77,24,93,8
Quadratic Probing,82,14,87,31,70,45,56,65,36,91,10
Quadratic Probing,83,8,93,18,83,35,66,56,45,83,18
Quadratic Probing,84,7,94,27,74,46,55,61,40,80,21
Quadratic Probing,85,6,95,31,70,43,58,60,41,80,21
Quadratic Probing,86,10,91,28,73,50,51,73,28,91,10
Quadratic Probing,87,11,90,28,73,46,55,69,32,94,7
Quadratic Probing,88,9,92,32,69,53,48,74,27,98,3
Quadratic Probing,89,9,92,33,68,50,51,71,30,91,10
Quadratic Probing,90,10,91,31,70,61,40,84,17,99,2
Quadratic Probing,91,11,90,29,72,51,50,75,26,96,5
Quadratic Probing,92,15,86,40,61,55,46,78,23,99,2
Quadratic Probing,93,11,90,35,66,55,46,65,36,94,7
Quadratic Probing,94,14,87,40,61,59,42,79,22,90,11
Quadratic Probing,95,5,96,27,74,51,50,77,24,97,4
Quadratic Probing,96,15,86,35,66,57,44,71,30,97,4
Quadratic Probing,97,15,86,32,69,49,52,73,28,93,8
Quadratic Probing,98,9,92,22,79,34,67,53,48,75,26
Quadratic Probing,99,1,9,3,7,3,7,5,5,7,3
LinkedList,0,5,96,26,75,38,63,53,48,63,38
LinkedList,1,14,87,34,67,43,58,57,44,67,34
LinkedList,2,9,92,20,81,44,57,56,45,65,36
LinkedList,3,8,93,26,75,40,61,43,58,59,42
LinkedList,4,6,95,22,79,38,63,51,50,57,44
LinkedList,5,10,91,25,76,44,57,50,51,60,41
LinkedList,6,5,96,27,74,39,62,56,45,65,36
LinkedList,7,9,92,21,80,28,73,39,62,51,50
LinkedList,8,10,91,28,73,37,64,50,51,61,40
LinkedList,9,5,96,19,82,31,70,42,59,52,49
LinkedList,10,9,92,23,78,34,67,44,57,51,50
LinkedList,11,10,91,27,74,41,60,53,48,64,37
LinkedList,12,6,95,22,79,36,65,43,58,53,48
LinkedList,13,14,87,24,77,37,64,45,56,53,48
LinkedList,14,12,89,31,70,44,57,52,49,58,43
LinkedList,15,20,81,36,65,47,54,63,38,76,25
LinkedList,16,10,91,28,73,45,56,51,50,63,38
LinkedList,17,8,93,21,80,43,58,57,44,64,37
LinkedList,18,9,92,27,74,40,61,48,53,63,38
LinkedList,19,12,89,40,61,55,46,68,33,77,24
LinkedList,20,10,91,26,75,45,56,57,44,66,35
LinkedList,21,11,90,21,80,35,66,51,50,60,41
LinkedList,22,9,92,26,75,41,60,56,45,62,39
LinkedList,23,7,94,27,74,36,65,47,54,55,46
LinkedList,24,9,92,31,70,47,54,55,46,68,33
LinkedList,25,10,91,35,66,43,58,58,43,66,35
LinkedList,26,10,91,27,74,41,60,55,46,65,36
LinkedList,27,12,89,25,76,35,66,47,54,58,43
LinkedList,28,9,92,24,77,45,56,53,48,68,33
LinkedList,29,10,91,25,76,40,61,47,54,55,46
LinkedList,30,7,94,25,76,44,57,54,47,63,38
LinkedList,31,11,90,30,71,42,59,54,47,65,36
LinkedList,32,7,94,29,72,47,54,58,43,70,31
LinkedList,33,10,91,27,74,39,62,52,49,65,36
LinkedList,34,13,88,24,77,38,63,49,52,59,42
LinkedList,35,9,92,31,70,42,59,50,51,64,37
LinkedList,36,12,89,31,70,45,56,54,47,60,41
LinkedList,37,10,91,27,74,44,57,54,47,68,33
LinkedList,38,10,91,29,72,40,61,56,45,63,38
LinkedList,39,13,88,28,73,38,63,46,55,54,47
LinkedList,40,5,96,21,80,34,67,45,56,55,46
LinkedList,41,12,89,26,75,39,62,51,50,59,42
LinkedList,42,10,91,31,70,46,55,52,49,62,39
LinkedList,43,7,94,27,74,39,62,57,44,66,35
LinkedList,44,11,90,23,78,33,68,48,53,59,42
LinkedList,45,11,90,25,76,39,62,57,44,69,32
LinkedList,46,9,92,27,74,48,53,57,44,66,35
LinkedList,47,8,93,22,79,42,59,54,47,60,41
LinkedList,48,13,88,35,66,52,49,58,43,64,37
LinkedList,49,10,91,28,73,46,55,53,48,65,36
LinkedList,50,10,91,24,77,41,60,53,48,66,35
LinkedList,51,8,93,26,75,38,63,53,48,62,39
LinkedList,52,9,92,24,77,36,65,49,52,57,44
LinkedList,53,9,92,26,75,44,57,49,52,56,45
LinkedList,54,9,92,29,72,42,59,55,46,67,34
LinkedList,55,8,93,27,74,41,60,51,50,59,42
LinkedList,56,9,92,26,75,37,64,50,51,60,41
LinkedList,57,4,97,21,80,32,69,44,57,55,46
LinkedList,58,9,92,28,73,38,63,53,48,66,35
LinkedList,59,12,89,26,75,37,64,52,49,60,41
LinkedList,60,10,91,23,78,42,59,51,50,58,43
LinkedList,61,10,91,26,75,35,66,49,52,61,40
LinkedList,62,5,96,22,79,33,68,45,56,55,46
LinkedList,63,10,91,21,80,33,68,42,59,49,52
LinkedList,64,6,95,19,82,36,65,50,51,60,41
LinkedList,65,13,88,31,70,47,54,57,44,64,37
LinkedList,66,13,88,35,66,48,53,56,45,65,36
LinkedList,67,4,97,24,77,41,60,50,51,56,45
LinkedList,68,14,87,25,76,39,62,52,49,65,36
LinkedList,69,10,91,24,77,34,67,44,57,54,47
LinkedList,70,9,92,20,81,43,58,47,54,56,45
LinkedList,71,14,87,32,69,51,50,62,39,67,34
LinkedList,72,11,90,29,72,41,60,51,50,60,41
LinkedList,73,6,95,25,76,40,61,53,48,61,40
LinkedList,74,8,93,27,74,40,61,47,54,58,43
LinkedList,75,10,91,28,73,48,53,58,43,66,35
LinkedList,76,18,83,33,68,50,51,64,37,71,30
LinkedList,77,9,92,19,82,31,70,43,58,58,43
LinkedList,78,8,93,24,77,42,59,54,47,60,41
LinkedList,79,15,86,33,68,45,56,53,48,63,38
LinkedList,80,9,92,27,74,41,60,52,49,64,37
LinkedList,81,10,91,25,76,41,60,54,47,62,39
LinkedList,82,12,89,27,74,39,62,53,48,62,39
LinkedList,83,7,94,16,85,28,73,43,58,56,45
LinkedList,84,7,94,25,76,37,64,49,52,55,46
LinkedList,85,5,96,26,75,34,67,47,54,59,42
LinkedList,86,9,92,22,79,40,61,53,48,64,37
LinkedList,87,11,90,24,77,38,63,53,48,68,33
LinkedList,88,8,93,29,72,45,56,54,47,63,38
LinkedList,89,9,92,29,72,42,59,51,50,62,39
LinkedList,90,10,91,27,74,49,52,65,36,73,28
LinkedList,91,11,90,25,76,37,64,50,51,62,39
LinkedList,92,15,86,34,67,43,58,55,46,64,37
LinkedList,93,10,91,32,69,44,57,49,52,59,42
LinkedList,94,13,88,30,71,43,58,56,45,64,37
LinkedList,95,4,97,23,78,42,59,57,44,65,36
LinkedList,96,15,86,32,69,45,56,54,47,65,36
LinkedList,97,14,87,24,77,35,66,46,55,54,47
LinkedList,98,9,92,17,84,25,76,36,65,48,53
LinkedList,99,1,9,2,8,2,8,3,7,4,6
Cuckoo,0,12,210,11,533,11,533,11,533,7,719
Cuckoo,1,5,217,4,540,4,540,4,540,8,718
Cuckoo,2,7,215,8,536,8,536,8,536,11,715
Cuckoo,3,12,210,7,537,7,537,7,537,5,721
Cuckoo,4,5,217,10,534,11,533,11,533,9,717
Cuckoo,5,9,213,3,541,3,541,3,541,11,715
Cuckoo,6,10,212,2,542,2,542,2,542,8,718
Cuckoo,7,6,216,9,535,9,535,9,535,13,713
Cuckoo,8,8,214,5,539,5,539,5,539,7,719
Cuckoo,9,4,218,8,536,8,536,8,536,3,723
Cuckoo,10,5,217,13,531,13,531,13,531,11,715
Cuckoo,11,3,219,8,536,8,536,8,536,11,715
Cuckoo,12,3,219,2,542,2,542,2,542,4,722
Cuckoo,13,3,219,5,539,5,539,5,539,6,720
Cuckoo,14,6,216,7,537,7,537,7,537,14,712
Cuckoo,15,2,220,1,543,1,543,1,543,4,722
Cuckoo,16,2,220,4,540,4,540,4,540,10,716
Cuckoo,17,8,214,10,534,10,534,10,534,6,720
Cuckoo,18,7,215,10,534,10,534,10,534,10,716
Cuckoo,19,5,217,4,540,4,540,4,540,12,714
Cuckoo,20,10,212,7,537,7,537,7,537,13,713
Cuckoo,21,5,217,4,540,4,540,4,540,5,721
Cuckoo,22,4,218,11,533,11,533,11,533,7,719
Cuckoo,23,10,212,16,528,16,528,16,528,5,721
Cuckoo,24,6,216,5,539,5,539,5,539,8,718
Cuckoo,25,9,213,8,536,8,536,8,536,8,718
Cuckoo,26,6,216,8,536,8,536,8,536,13,713
Cuckoo,27,6,216,5,539,5,539,5,539,10,716
Cuckoo,28,5,217,2,542,2,542,2,542,8,718
Cuckoo,29,4,218,11,533,11,533,11,533,8,718
Cuckoo,30,8,214,9,535,9,535,9,535,8,718
Cuckoo,31,5,217,8,536,8,536,8,536,11,715
Cuckoo,32,3,219,13,531,13,531,13,531,8,718
Cuckoo,33,6,216,7,537,7,537,7,537,6,720
Cuckoo,34,2,220,7,537,7,537,7,537,9,717
Cuckoo,35,2,220,8,536,8,536,8,536,4,722
Cuckoo,36,6,216,8,536,8,536,8,536,3,723
Cuckoo,37,7,215,5,539,5,539,5,539,8,718
Cuckoo,38,4,218,11,533,11,533,11,533,10,716
Cuckoo,39,3,219,9,535,9,535,9,535,4,722
Cuckoo,40,6,216,9,535,9,535,9,535,5,721
Cuckoo,41,4,218,12,532,12,532,12,532,7,719
Cuckoo,42,8,214,11,533,11,533,11,533,6,720
Cuckoo,43,5,217,7,537,7,537,7,537,9,717
Cuckoo,44,6,216,10,534,10,534,10,534,3,723
Cuckoo,45,5,217,9,535,9,535,9,535,7,719
Cuckoo,46,8,214,7,537,7,537,7,537,9,717
Cuckoo,47,7,215,12,532,12,532,12,532,7,719
Cuckoo,48,7,215,6,538,6,538,6,538,5,721
Cuckoo,49,3,219,7,537,7,537,7,537,10,716
Cuckoo,50,5,217,6,538,6,538,6,538,8,718
Cuckoo,51,6,216,6,538,6,538,6,538,6,720
Cuckoo,52,4,218,7,537,7,537,7,537,6,720
Cuckoo,53,4,218,9,535,9,535,9,535,11,715
Cuckoo,54,9,213,6,538,6,538,6,538,3,723
Cuckoo,55,4,218,7,537,7,537,7,537,9,717
Cuckoo,56,5,217,8,536,8,536,8,536,4,722
Cuckoo,57,5,217,7,537,7,537,7,537,12,714
Cuckoo,58,2,220,12,532,12,532,12,532,6,720
Cuckoo,59,5,217,5,539,5,539,5,539,9,717
Cuckoo,60,7,215,13,531,13,531,13,531,6,720
Cuckoo,61,4,218,8,536,8,536,8,536,8,718
Cuckoo,62,4,218,4,540,4,540,4,540,5,721
Cuckoo,63,13,209,10,534,10,534,10,534,8,718
Cuckoo,64,5,217,5,539,5,539,5,539,4,722
Cuckoo,65,5,217,12,532,12,532,12,532,7,719
Cuckoo,66,4,218,3,541,3,541,3,541,6,720
Cuckoo,67,3,219,7,537,7,537,7,537,8,718
Cuckoo,68,6,216,8,536,8,536,8,536,9,717
Cuckoo,69,4,218,9,535,9,535,9,535,6,720
Cuckoo,70,8,214,5,539,5,539,5,539,9,717
Cuckoo,71,10,212,6,538,6,538,6,538,6,720
Cuckoo,72,3,219,5,539,5,539,5,539,3,723
Cuckoo,73,5,217,7,537,7,537,7,537,13,713
Cuckoo,74,2,220,7,537,7,537,8,536,9,717
Cuckoo,75,4,218,4,540,4,540,4,540,3,723
Cuckoo,76,5,217,3,541,3,541,3,541,4,722
Cuckoo,77,2,220,4,540,4,540,4,540,4,722
Cuckoo,78,5,217,4,540,4,540,4,540,7,719
Cuckoo,79,3,219,7,537,7,537,7,537,4,722
Cuckoo,80,2,220,4,540,4,540,4,540,5,721
Cuckoo,81,5,217,4,540,4,540,4,540,4,722
Cuckoo,82,7,215,8,536,8,536,8,536,6,720
Cuckoo,83,6,216,9,535,9,535,10,534,4,722
Cuckoo,84,3,219,2,542,2,542,2,542,7,719
Cuckoo,85,7,215,2,542,3,541,3,541,4,722
Cuckoo,86,4,218,6,538,6,538,6,538,4,722
Cuckoo,87,4,218,5,539,5,539,5,539,7,719
Cuckoo,88,6,216,7,537,7,537,7,537,4,722
Cuckoo,89,11,211,1,543,1,543,1,543,3,723
Cuckoo,90,3,219,4,540,4,540,4,540,5,721
Cuckoo,91,7,215,7,537,7,537,7,537,13,713
Cuckoo,92,6,216,2,542,2,542,2,542,10,716
Cuckoo,93,3,219,9,535,9,535,9,535,7,719
Cuckoo,94,7,215,5,539,5,539,5,539,6,720
Cuckoo,95,7,215,4,540,4,540,4,540,6,720
Cuckoo,96,10,212,5,539,5,539,5,539,6,720
Cuckoo,97,3,219,1,543,1,543,1,543,8,718
Cuckoo,98,4,218,2,542,2,542,2,542,5,721
Cuckoo,99,2,74,3,395,3,395,3,395,0,584
